pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate
LP 791-18 b,LP 791-18,1,1,2,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=CROSSFIELD_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...883L..16C/abstract target=ref>Crossfield et al. 2019</a>,0.948005,0.0000058,-0.0000058,0,0.00969,0.00032,-0.00035,0,1.12,0.13,-0.13,0,0.1,0.012,-0.012,0,,,,,,,,,,0,,,0,21.5,5.4,-4.6,0,650,120,-120,0,0,<a refstr=CROSSFIELD_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...883L..16C/abstract target=ref>Crossfield et al. 2019</a>,M(6.1+/-0.7) V,2960,55,-55,0,0.17,0.02,-0.02,0,0.14,0.01,-0.01,0,-0.09,0.19,-0.19,0,[Fe/H],5.12,0.09,-0.09,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h02m45.72s,165.6904843,-16d24m23.20s,-16.4064445,26.4927,0.064,-0.0638,16.91,0.2,-0.2,10.644,0.023,-0.023,15.0715,0.001324,-0.001324,2019-11-01,2019-09,2019-11-07
LP 791-18 c,LP 791-18,1,1,2,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=CROSSFIELD_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...883L..16C/abstract target=ref>Crossfield et al. 2019</a>,4.989963,0.00005,-0.00005,0,0.029392,0.00098,-0.00105,0,2.31,0.25,-0.25,0,0.206,0.022,-0.022,0,,,,,,,,,,0,,,0,2.35,0.59,-0.51,0,370,30,-30,0,0,<a refstr=CROSSFIELD_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...883L..16C/abstract target=ref>Crossfield et al. 2019</a>,M(6.1+/-0.7) V,2960,55,-55,0,0.17,0.02,-0.02,0,0.14,0.01,-0.01,0,-0.09,0.19,-0.19,0,[Fe/H],5.12,0.09,-0.09,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h02m45.72s,165.6904843,-16d24m23.20s,-16.4064445,26.4927,0.064,-0.0638,16.91,0.2,-0.2,10.644,0.023,-0.023,15.0715,0.001324,-0.001324,2019-11-01,2019-09,2019-11-07
LP 890-9 b,LP 890-9,1,1,2,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=DELREZ_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220902831D/abstract target=ref>Delrez et al. 2022</a>,2.7299025,0.0000034,-0.000004,0,0.01875,0.0001,-0.0001,0,1.32,0.053,-0.027,0,0.118,0.005,-0.002,0,13.2,,,1,0.04153,,,1,Mass,,,,,4.09,0.12,-0.12,0,396,3,-3,0,0,<a refstr=DELREZ_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220902831D/abstract target=ref>Delrez et al. 2022</a>,M6 V,2850,75,-75,0,0.16,0.01,-0.01,0,0.12,0,0,0,-0.028,0.089,-0.089,0,[Fe/H],5.13,0.05,-0.05,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h16m31.42s,64.1309096,-28d18m56.85s,-28.3157909,32.4298,0.0702,-0.0699,18,0.2,-0.2,11.344,0.023,-0.023,15.8213,0.000763,-0.000763,2022-09-14,2022-09,2022-09-14
LTT 1445 A b,LTT 1445 A,1,3,2,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=WINTERS_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021arXiv210714737W/abstract target=ref>Winters et al. 2021</a>,5.3587657,0.0000043,-0.0000042,0,0.03813,0.00068,-0.0007,0,1.305,0.066,-0.061,0,0.116,0.006,-0.005,0,2.87,0.26,-0.25,0,0.00903,0.00082,-0.00079,0,Mass,0.11,,,1,5.4,1.2,-1,0,424,21,-21,0,0,<a refstr=WINTERS_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021arXiv210714737W/abstract target=ref>Winters et al. 2021</a>,,3340,150,-150,0,0.27,0.01,-0.01,0,0.26,0.01,-0.01,0,-0.34,0.09,-0.09,0,[Fe/H],,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h01m50.99s,45.4624781,-16d35m40.18s,-16.5944956,6.86929,0.003805,-0.003805,10.59,0.046,-0.046,6.496,0.021,-0.021,10.0469,0.001234,-0.001234,2022-01-24,2021-07,2022-01-24
LTT 1445 A c,LTT 1445 A,1,3,2,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=WINTERS_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021arXiv210714737W/abstract target=ref>Winters et al. 2021</a>,3.1239035,0.0000034,-0.0000036,0,0.02661,0.00047,-0.00049,0,1.147,0.055,-0.054,0,0.102,0.005,-0.005,0,1.54,0.2,-0.19,0,0.00485,0.00063,-0.0006,0,Mass,0.223,,,1,10.9,2.4,-2,0,508,25,-25,0,0,<a refstr=WINTERS_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021arXiv210714737W/abstract target=ref>Winters et al. 2021</a>,,3340,150,-150,0,0.27,0.01,-0.01,0,0.26,0.01,-0.01,0,-0.34,0.09,-0.09,0,[Fe/H],,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h01m50.99s,45.4624781,-16d35m40.18s,-16.5944956,6.86929,0.003805,-0.003805,10.59,0.046,-0.046,6.496,0.021,-0.021,10.0469,0.001234,-0.001234,2022-01-24,2021-07,2022-01-24
LTT 3780 b,LTT 3780,1,2,2,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=CLOUTIER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160....3C/abstract target=ref>Cloutier et al. 2020</a>,0.768448,0.000055,-0.000053,0,0.01211,0.00012,-0.00012,0,1.332,0.072,-0.075,0,0.119,0.006,-0.007,0,2.62,0.48,-0.46,0,0.00824,0.00151,-0.00145,0,Mass,0,,,0,106,22,-19,0,892,44,-44,0,0,<a refstr=CLOUTIER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160....3C/abstract target=ref>Cloutier et al. 2020</a>,M4 V,3331,157,-157,0,0.37,0.01,-0.01,0,0.4,0.01,-0.01,0,0.28,0.11,-0.13,0,[Fe/H],4.9,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h18m34.78s,154.6449033,-11d43m04.08s,-11.717801,21.9814,0.0403,-0.0402,13.14,0.035,-0.035,8.204001,0.021,-0.021,11.8465,0.000477,-0.000477,2020-05-28,2020-07,2020-06-04
LTT 3780 c,LTT 3780,1,2,2,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=CLOUTIER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160....3C/abstract target=ref>Cloutier et al. 2020</a>,12.2519,0.0028,-0.003,0,0.07673,0.00075,-0.00077,0,2.3,0.16,-0.15,0,0.205,0.014,-0.013,0,8.6,1.6,-1.3,0,0.02706,0.00503,-0.00409,0,Mass,0.06,0.15,-0.14,0,2.63,0.56,-0.48,0,353,18,-18,0,0,<a refstr=CLOUTIER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160....3C/abstract target=ref>Cloutier et al. 2020</a>,M4 V,3331,157,-157,0,0.37,0.01,-0.01,0,0.4,0.01,-0.01,0,0.28,0.11,-0.13,0,[Fe/H],4.9,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h18m34.78s,154.6449033,-11d43m04.08s,-11.717801,21.9814,0.0403,-0.0402,13.14,0.035,-0.035,8.204001,0.021,-0.021,11.8465,0.000477,-0.000477,2020-05-28,2020-07,2020-06-04
LTT 9779 b,LTT 9779,1,1,1,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=JENKINS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020NatAs.tmp..180J/abstract target=ref>Jenkins et al. 2020</a>,0.792052,0.0000093,-0.0000093,0,0.01679,0.00014,-0.00012,0,4.72,0.23,-0.23,0,0.421,0.021,-0.021,0,29.32,0.78,-0.81,0,0.09225,0.00245,-0.00255,0,Mass,0,,,0,,,,,1978,19,-19,0,0,<a refstr=JENKINS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020NatAs.tmp..180J/abstract target=ref>Jenkins et al. 2020</a>,G7 V,5443,14,-13,0,0.95,0.01,-0.01,0,0.77,0.29,-0.21,0,0.27,0.03,-0.03,0,[Fe/H],4.35,0.16,-0.12,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h54m40.53s,358.6688767,-37d37m41.61s,-37.6282237,80.4373,0.3174,-0.315,9.79,0.03,-0.03,8.016,0.029,-0.029,9.60006,0.00029,-0.00029,2020-09-17,2020-09,2020-09-24
NGTS-11 b,NGTS-11,1,1,1,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=GILL_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020ApJ...898L..11G/abstract target=ref>Gill et al. 2020</a>,35.45533,0.00019,-0.00019,0,0.201,0.0021,-0.0022,0,9.158,0.314,-0.359,0,0.817,0.028,-0.032,0,109.33352,29.24036,-23.20159,0,0.344,0.092,-0.073,0,Mass,0.13,0.1,-0.09,0,,,,,435,34,-32,0,0,<a refstr=GILL_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020ApJ...898L..11G/abstract target=ref>Gill et al. 2020</a>,K,5050,80,-80,0,0.83,0.01,-0.01,0,0.86,0.03,-0.03,0,0.22,0.08,-0.08,0,[Fe/H],4.5,0.1,-0.1,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h34m05.15s,23.5214497,-14d25m08.94s,-14.4191493,190.422,1.777,-1.744,12.456,0.08,-0.08,10.315,0.025,-0.025,12.1895,0.000208,-0.000208,2020-07-02,2020-07,2020-07-09
NGTS-20 b,NGTS-20,1,1,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=ULMER_MOLL_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220703911U/abstract target=ref>Ulmer-Moll et al. 2022</a>,54.18915,0.00015,-0.00015,0,0.313,0.013,-0.013,0,11.994,0.448,-0.448,0,1.07,0.04,-0.04,0,947.12865,50.85255,-47.67426,0,2.98,0.16,-0.15,0,Mass,0.432,0.023,-0.023,0,,,,,688,14,-13,0,0,<a refstr=ULMER_MOLL_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220703911U/abstract target=ref>Ulmer-Moll et al. 2022</a>,G1 IV,5980,80,-80,0,1.78,0.05,-0.05,0,1.47,0.09,-0.09,0,0.15,0.08,-0.08,0,[Fe/H],3.8,0.2,-0.2,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h05m10.23s,46.2926368,-21d56m01.13s,-21.9336472,382.898,7.433,-7.159,11.233,0.011,-0.011,9.83,0.019,-0.019,11.0313,0.000404,-0.000404,2022-07-12,2022-07,2022-07-12
